day,direction,entry_ts,exit_ts,entry_index,exit_index,reference_level,index_stop,beta,strike_rank,lots,quantity,risk_rupees,pnl_rupees,pnl_r,mfe_rupees,mfe_r,capture_pct,exit_reason,minutes_open
2026-02-04,CE,2026-02-04 09:06:00+00:00,2026-02-04 09:13:00+00:00,60321.600000,60350.850000,60274.650000,60303.40,0.5,ATM,1,30,273.00,495.00,1.81,795.75,2.91,62.21,mfe_ratchet_stop,7
2026-02-05,PE,2026-02-05 04:16:00+00:00,2026-02-05 04:19:00+00:00,60134.350000,60091.950000,60157.600000,60158.54,0.5,ATM,1,30,362.85,738.00,2.03,1055.25,2.91,69.94,mfe_ratchet_stop,3
2026-02-05,PE,2026-02-05 05:46:00+00:00,2026-02-05 05:52:00+00:00,60075.800000,60036.600000,60157.600000,60121.58,0.5,ATM,1,30,686.70,625.50,0.91,926.25,1.35,67.53,mfe_ratchet_stop,6
2026-02-05,PE,2026-02-05 08:51:00+00:00,2026-02-05 09:08:00+00:00,59920.050000,59971.94,60157.600000,59971.94,0.5,ATM,1,30,778.35,-778.35,-1.00,585.00,0.75,0,index_structure_stop,17
2026-02-06,PE,2026-02-06 05:06:00+00:00,2026-02-06 05:16:00+00:00,59758.250000,59701.800000,59924.150000,59846.60,0.5,ATM,1,30,1325.25,1192.50,0.90,1705.50,1.29,69.92,mfe_ratchet_stop,10
2026-02-13,PE,2026-02-13 05:31:00+00:00,2026-02-13 05:41:00+00:00,60365.900000,60300.300000,60444.800000,60410.52,0.5,ATM,1,30,669.30,987.00,1.47,1410.75,2.11,69.96,mfe_ratchet_stop,10
2026-02-16,CE,2026-02-16 04:41:00+00:00,2026-02-16 04:46:00+00:00,60365.750000,60420.200000,60266.500000,60324.05,0.5,ATM,1,30,625.50,1116.00,1.78,1596.00,2.55,69.92,mfe_ratchet_stop,5
2026-02-16,CE,2026-02-16 05:46:00+00:00,2026-02-16 05:55:00+00:00,60436.950000,60440.050000,60266.500000,60393.38,0.5,ATM,1,30,653.55,481.50,0.74,782.25,1.20,61.55,mfe_ratchet_stop,9
2026-02-16,CE,2026-02-16 08:11:00+00:00,2026-02-16 08:25:00+00:00,60769.500000,60704.83,60266.500000,60704.83,0.5,ATM,1,30,970.05,-970.05,-1.00,570.75,0.59,0,index_structure_stop,14
2026-02-17,CE,2026-02-17 04:56:00+00:00,2026-02-17 05:04:00+00:00,60960.400000,61106.500000,60886.100000,60907.72,0.5,ATM,1,30,790.20,2275.50,2.88,3252.00,4.12,69.97,mfe_ratchet_stop,8
2026-02-17,CE,2026-02-17 06:46:00+00:00,2026-02-17 07:00:00+00:00,61154.400000,61109.01,60886.100000,61109.01,0.5,ATM,1,30,680.85,-680.85,-1.00,465.75,0.68,0,index_structure_stop,14
2026-02-19,PE,2026-02-19 05:01:00+00:00,2026-02-19 05:11:00+00:00,61354.600000,61311.000000,61433.100000,61417.67,0.5,ATM,1,30,946.05,1042.50,1.10,1490.25,1.58,69.95,mfe_ratchet_stop,10
2026-02-19,PE,2026-02-19 07:01:00+00:00,2026-02-19 07:19:00+00:00,61107.200000,61018.400000,61433.100000,61174.95,0.5,ATM,1,30,1016.25,1549.50,1.52,2214.00,2.18,69.99,mfe_ratchet_stop,18
2026-02-19,PE,2026-02-19 08:16:00+00:00,2026-02-19 08:18:00+00:00,61040.050000,61020.500000,61433.100000,61077.67,0.5,ATM,1,30,564.30,339.00,0.60,639.00,1.13,53.05,mfe_ratchet_stop,2
2026-02-20,CE,2026-02-20 05:11:00+00:00,2026-02-20 07:03:00+00:00,61170.450000,61300.200000,60949.750000,61083.72,0.5,ATM,1,30,1300.95,1995.00,1.53,2850.75,2.19,69.98,mfe_ratchet_stop,112
2026-02-20,CE,2026-02-20 08:26:00+00:00,2026-02-20 08:50:00+00:00,61188.150000,61238.450000,60949.750000,61091.32,0.5,ATM,1,30,1452.45,1044.00,0.72,1493.25,1.03,69.91,mfe_ratchet_stop,24
2026-02-24,PE,2026-02-24 07:01:00+00:00,2026-02-24 07:04:00+00:00,61087.650000,61043.150000,61109.150000,61120.68,0.5,ATM,1,30,495.45,774.00,1.56,1107.75,2.24,69.87,mfe_ratchet_stop,3
2026-02-24,PE,2026-02-24 07:11:00+00:00,2026-02-24 07:25:00+00:00,61062.100000,60982.800000,61109.150000,61103.63,0.5,ATM,1,30,622.95,1438.50,2.31,2055.75,3.30,69.97,mfe_ratchet_stop,14
2026-02-25,PE,2026-02-25 07:31:00+00:00,2026-02-25 08:00:00+00:00,60882.650000,60963.18,61145.200000,60963.18,0.5,ATM,1,30,1207.95,-1207.95,-1.00,727.50,0.60,0,index_structure_stop,29
2026-02-26,PE,2026-02-26 06:51:00+00:00,2026-02-26 06:53:00+00:00,60913.750000,60862.900000,61061.300000,61003.30,0.5,ATM,1,30,1343.25,1054.50,0.79,1506.75,1.12,69.99,mfe_ratchet_stop,2
2026-02-27,PE,2026-02-27 04:26:00+00:00,2026-02-27 04:34:00+00:00,60788.300000,60720.300000,60855.300000,60845.40,0.5,ATM,1,30,856.50,1023.00,1.19,1462.50,1.71,69.95,mfe_ratchet_stop,8
2026-02-27,PE,2026-02-27 04:46:00+00:00,2026-02-27 04:58:00+00:00,60693.400000,60760.07,60855.300000,60760.07,0.5,ATM,1,30,1000.05,-1000.05,-1.00,434.25,0.43,0,index_structure_stop,12
2026-03-05,PE,2026-03-05 08:21:00+00:00,2026-03-05 08:28:00+00:00,58684.700000,58595.200000,58809.700000,58745.22,0.5,ATM,1,30,907.80,1404.00,1.55,2007.00,2.21,69.96,mfe_ratchet_stop,7
2026-03-05,PE,2026-03-05 08:41:00+00:00,2026-03-05 08:54:00+00:00,58549.850000,58661.39,58809.700000,58661.39,0.35,OTM1,1,30,1171.17,-1171.17,-1.00,456.23,0.39,0,index_structure_stop,13
2026-03-06,PE,2026-03-06 04:56:00+00:00,2026-03-06 04:59:00+00:00,58454.650000,58405.600000,58495.250000,58508.95,0.5,ATM,1,30,814.50,760.50,0.93,1086.75,1.33,69.98,mfe_ratchet_stop,3
2026-03-06,PE,2026-03-06 05:16:00+00:00,2026-03-06 05:20:00+00:00,58418.350000,58378.550000,58495.250000,58444.53,0.5,ATM,1,30,392.70,898.50,2.29,1284.75,3.27,69.94,mfe_ratchet_stop,4
2026-03-06,PE,2026-03-06 05:41:00+00:00,2026-03-06 05:49:00+00:00,58405.500000,58340.150000,58495.250000,58486.24,0.5,ATM,1,30,1211.10,1069.50,0.88,1528.50,1.26,69.97,mfe_ratchet_stop,8
2026-03-10,CE,2026-03-10 05:36:00+00:00,2026-03-10 05:47:00+00:00,56821.400000,56877.150000,56745.650000,56756.12,0.5,ATM,1,30,979.20,975.00,1.00,1393.50,1.42,69.97,mfe_ratchet_stop,11
2026-03-10,CE,2026-03-10 08:21:00+00:00,2026-03-10 08:39:00+00:00,56926.250000,56988.700000,56745.650000,56843.99,0.5,ATM,1,30,1233.90,1125.00,0.91,1608.00,1.30,69.96,mfe_ratchet_stop,18
2026-03-11,PE,2026-03-11 05:01:00+00:00,2026-03-11 05:04:00+00:00,56546.350000,56519.900000,56642.750000,56588.77,0.5,ATM,1,30,636.30,475.50,0.75,775.50,1.22,61.32,mfe_ratchet_stop,3
2026-03-11,PE,2026-03-11 06:01:00+00:00,2026-03-11 06:06:00+00:00,56149.500000,56064.750000,56642.750000,56188.60,0.5,ATM,1,30,586.50,1336.50,2.28,1910.25,3.26,69.96,mfe_ratchet_stop,5
2026-03-11,PE,2026-03-11 08:06:00+00:00,2026-03-11 08:50:00+00:00,56022.900000,55925.400000,56642.750000,56141.89,0.35,OTM1,1,30,1249.40,1089.00,0.87,1557.15,1.25,69.94,mfe_ratchet_stop,44
2026-03-12,CE,2026-03-12 05:26:00+00:00,2026-03-12 05:36:00+00:00,55157.550000,55301.050000,55067.350000,55115.96,0.5,ATM,1,30,623.85,2257.50,3.62,3226.50,5.17,69.97,mfe_ratchet_stop,10
2026-03-13,PE,2026-03-13 04:26:00+00:00,2026-03-13 04:32:00+00:00,54232.450000,54185.800000,54361.600000,54298.18,0.5,ATM,1,30,985.95,1086.00,1.10,1551.75,1.57,69.99,mfe_ratchet_stop,6
2026-03-13,PE,2026-03-13 04:46:00+00:00,2026-03-13 04:48:00+00:00,54178.050000,54140.600000,54361.600000,54207.76,0.5,ATM,1,30,445.65,720.00,1.62,1030.50,2.31,69.87,mfe_ratchet_stop,2
2026-03-13,PE,2026-03-13 04:51:00+00:00,2026-03-13 05:59:00+00:00,54064.550000,54194.30,54361.600000,54194.30,0.35,OTM1,1,30,1362.38,-1362.38,-1.00,1073.10,0.79,0,index_structure_stop,68
2026-03-16,PE,2026-03-16 05:11:00+00:00,2026-03-16 05:16:00+00:00,53587.050000,53533.350000,53630.600000,53651.64,0.5,ATM,1,30,968.85,990.00,1.02,1416.00,1.46,69.92,mfe_ratchet_stop,5
2026-03-16,CE,2026-03-16 09:01:00+00:00,2026-03-16 09:03:00+00:00,54155.550000,54237.850000,53947.300000,54047.83,0.35,OTM1,1,30,1131.06,928.50,0.82,1328.25,1.17,69.90,mfe_ratchet_stop,2
2026-03-16,CE,2026-03-16 09:06:00+00:00,2026-03-16 09:11:00+00:00,54272.450000,54335.850000,53947.300000,54133.56,0.35,OTM1,1,30,1458.35,1449.00,0.99,2070.08,1.42,70.00,mfe_ratchet_stop,5
