day,direction,entry_ts,exit_ts,entry_index,exit_index,reference_level,index_stop,beta,strike_rank,lots,quantity,risk_rupees,pnl_rupees,pnl_r,mfe_rupees,mfe_r,capture_pct,exit_reason,minutes_open
2026-04-24,PE,2026-04-24 04:50:00+00:00,2026-04-24 05:21:00+00:00,55978.250000,55991.450000,56159.450000,56092.52,0.35,OTM1,1,30,1199.84,-1.00,-0.00,853.65,0.71,0,mfe_ratchet_stop,31
2026-04-24,PE,2026-04-24 05:40:00+00:00,2026-04-24 06:03:00+00:00,55917.100000,56035.96,56159.450000,56035.96,0.35,OTM1,1,30,1248.03,-1348.03,-1.08,102.90,0.08,0,index_structure_stop,23
2026-04-28,PE,2026-04-28 08:20:00+00:00,2026-04-28 08:25:00+00:00,55536.400000,55614.98,55851.800000,55614.98,0.5,ATM,1,30,1178.70,-1278.70,-1.08,105.75,0.09,0,index_structure_stop,5
2026-04-29,CE,2026-04-29 04:45:00+00:00,2026-04-29 05:07:00+00:00,55818.350000,55823.700000,55688.350000,55702.28,0.35,OTM1,1,30,1218.74,-1.00,-0.00,1184.93,0.97,0,mfe_ratchet_stop,22
2026-04-29,CE,2026-04-29 07:00:00+00:00,2026-04-29 07:26:00+00:00,56089.200000,56090.300000,55688.350000,55985.20,0.35,OTM1,1,30,1092.00,-1.00,-0.00,940.28,0.86,0,mfe_ratchet_stop,26
2026-05-05,PE,2026-05-05 06:30:00+00:00,2026-05-05 06:44:00+00:00,54241.250000,54317.09,54438.150000,54317.09,0.5,ATM,1,30,1137.60,-1237.60,-1.09,294.00,0.26,0,index_structure_stop,14
2026-05-06,PE,2026-05-06 05:50:00+00:00,2026-05-06 07:39:00+00:00,54910.550000,54687.850000,55109.050000,55023.85,0.35,OTM1,1,30,1189.65,2276.00,1.91,3395.18,2.85,67.04,mfe_ratchet_stop,109
2026-05-11,PE,2026-05-11 04:30:00+00:00,2026-05-11 04:39:00+00:00,54407.350000,54496.69,54600.250000,54496.69,0.5,ATM,1,30,1340.10,-1440.10,-1.07,74.25,0.06,0,index_structure_stop,9
2026-05-12,PE,2026-05-12 05:35:00+00:00,2026-05-12 05:48:00+00:00,53898.300000,53905.750000,54003.300000,53983.89,0.5,ATM,1,30,1283.85,-1.00,-0.00,894.75,0.70,0,mfe_ratchet_stop,13
2026-05-12,PE,2026-05-12 08:35:00+00:00,2026-05-12 09:34:00+00:00,53660.950000,53553.100000,54003.300000,53796.88,0.35,OTM1,1,30,1427.27,1394.00,0.98,2136.23,1.50,65.26,mfe_ratchet_stop,59
2026-05-20,CE,2026-05-20 05:55:00+00:00,2026-05-20 06:01:00+00:00,53240.800000,53271.850000,53020.500000,53169.29,0.5,ATM,1,30,1072.65,876.50,0.82,1396.50,1.30,62.76,mfe_ratchet_stop,6
2026-05-20,CE,2026-05-20 08:55:00+00:00,2026-05-20 09:32:00+00:00,53495.850000,53474.850000,53020.500000,53357.29,0.35,OTM1,1,30,1454.88,-1.00,-0.00,1159.73,0.80,0,mfe_ratchet_stop,37
2026-05-21,PE,2026-05-21 05:35:00+00:00,2026-05-21 05:49:00+00:00,53704.050000,53622.650000,53797.150000,53807.34,0.35,OTM1,1,30,1084.55,1173.50,1.08,1819.65,1.68,64.49,mfe_ratchet_stop,14
2026-05-22,CE,2026-05-22 04:40:00+00:00,2026-05-22 07:26:00+00:00,54047.450000,54163.050000,53914.900000,53904.67,0.35,OTM1,1,30,1499.19,1116.50,0.74,1738.80,1.16,64.21,mfe_ratchet_stop,166
2026-05-25,CE,2026-05-25 05:35:00+00:00,2026-05-25 06:30:00+00:00,55073.100000,55052.700000,54974.400000,55000.34,0.5,ATM,1,30,1091.40,-1.00,-0.00,735.75,0.67,0,mfe_ratchet_stop,55
2026-05-25,CE,2026-05-25 09:15:00+00:00,2026-05-25 09:23:00+00:00,55104.950000,55204.800000,54974.400000,55006.84,0.5,ATM,1,30,1471.65,1514.00,1.03,2307.75,1.57,65.61,mfe_ratchet_stop,8
2026-05-27,PE,2026-05-27 08:15:00+00:00,2026-05-27 08:53:00+00:00,54847.100000,54924.77,54908.850000,54924.77,0.5,ATM,1,30,1165.05,-1265.05,-1.09,535.50,0.46,0,index_structure_stop,38
2026-05-29,PE,2026-05-29 08:05:00+00:00,2026-05-29 08:11:00+00:00,54550.450000,54551.850000,54748.300000,54645.94,0.5,ATM,1,30,1432.35,-1.00,-0.00,832.50,0.58,0,mfe_ratchet_stop,6
