day,direction,entry_ts,exit_ts,entry_index,exit_index,reference_level,index_stop,beta,strike_rank,lots,quantity,risk_rupees,pnl_rupees,pnl_r,mfe_rupees,mfe_r,capture_pct,exit_reason,minutes_open
2026-02-04,CE,2026-02-04 09:06:00+00:00,2026-02-04 09:16:00+00:00,60321.600000,60315.100000,60274.650000,60303.40,0.5,ATM,1,30,273.00,195.00,0.71,795.75,2.91,24.51,mfe_ratchet_stop,10
2026-02-05,PE,2026-02-05 04:16:00+00:00,2026-02-05 04:20:00+00:00,60134.350000,60116.000000,60157.600000,60158.54,0.5,ATM,1,30,362.85,454.50,1.25,1055.25,2.91,43.07,mfe_ratchet_stop,4
2026-02-05,PE,2026-02-05 05:46:00+00:00,2026-02-05 06:00:00+00:00,60075.800000,60071.750000,60157.600000,60121.58,0.5,ATM,1,30,686.70,343.50,0.50,943.50,1.37,36.41,mfe_ratchet_stop,14
2026-02-05,PE,2026-02-05 08:51:00+00:00,2026-02-05 09:08:00+00:00,59920.050000,59971.94,60157.600000,59971.94,0.5,ATM,1,30,778.35,-778.35,-1.00,585.00,0.75,0,index_structure_stop,17
2026-02-06,PE,2026-02-06 05:06:00+00:00,2026-02-06 05:16:00+00:00,59758.250000,59701.800000,59924.150000,59846.60,0.5,ATM,1,30,1325.25,1105.50,0.83,1705.50,1.29,64.82,mfe_ratchet_stop,10
2026-02-13,PE,2026-02-13 05:31:00+00:00,2026-02-13 05:44:00+00:00,60365.900000,60314.600000,60444.800000,60410.52,0.5,ATM,1,30,669.30,810.00,1.21,1410.75,2.11,57.42,mfe_ratchet_stop,13
2026-02-16,CE,2026-02-16 04:41:00+00:00,2026-02-16 04:46:00+00:00,60365.750000,60420.200000,60266.500000,60324.05,0.5,ATM,1,30,625.50,996.00,1.59,1596.00,2.55,62.41,mfe_ratchet_stop,5
2026-02-16,CE,2026-02-16 05:46:00+00:00,2026-02-16 05:55:00+00:00,60436.950000,60440.050000,60266.500000,60393.38,0.5,ATM,1,30,653.55,181.50,0.28,782.25,1.20,23.20,mfe_ratchet_stop,9
2026-02-16,CE,2026-02-16 08:11:00+00:00,2026-02-16 08:25:00+00:00,60769.500000,60704.83,60266.500000,60704.83,0.5,ATM,1,30,970.05,-970.05,-1.00,570.75,0.59,0,index_structure_stop,14
2026-02-17,CE,2026-02-17 04:56:00+00:00,2026-02-17 05:05:00+00:00,60960.400000,61087.800000,60886.100000,60907.72,0.5,ATM,1,30,790.20,2113.50,2.67,3252.00,4.12,64.99,mfe_ratchet_stop,9
2026-02-17,CE,2026-02-17 06:46:00+00:00,2026-02-17 07:00:00+00:00,61154.400000,61109.01,60886.100000,61109.01,0.5,ATM,1,30,680.85,-680.85,-1.00,465.75,0.68,0,index_structure_stop,14
2026-02-19,PE,2026-02-19 05:01:00+00:00,2026-02-19 05:11:00+00:00,61354.600000,61311.000000,61433.100000,61417.67,0.5,ATM,1,30,946.05,889.50,0.94,1490.25,1.58,59.69,mfe_ratchet_stop,10
2026-02-19,PE,2026-02-19 07:01:00+00:00,2026-02-19 07:19:00+00:00,61107.200000,61018.400000,61433.100000,61174.95,0.5,ATM,1,30,1016.25,1438.50,1.42,2214.00,2.18,64.97,mfe_ratchet_stop,18
2026-02-19,PE,2026-02-19 08:16:00+00:00,2026-02-19 08:24:00+00:00,61040.050000,61016.200000,61433.100000,61077.67,0.5,ATM,1,30,564.30,423.00,0.75,1023.75,1.81,41.32,mfe_ratchet_stop,8
2026-02-20,CE,2026-02-20 05:11:00+00:00,2026-02-20 07:12:00+00:00,61170.450000,61278.800000,60949.750000,61083.72,0.5,ATM,1,30,1300.95,1852.50,1.42,2850.75,2.19,64.98,mfe_ratchet_stop,121
2026-02-20,CE,2026-02-20 08:26:00+00:00,2026-02-20 08:50:00+00:00,61188.150000,61238.450000,60949.750000,61091.32,0.5,ATM,1,30,1452.45,892.50,0.61,1493.25,1.03,59.77,mfe_ratchet_stop,24
2026-02-24,PE,2026-02-24 07:01:00+00:00,2026-02-24 07:05:00+00:00,61087.650000,61054.400000,61109.150000,61120.68,0.5,ATM,1,30,495.45,507.00,1.02,1107.75,2.24,45.77,mfe_ratchet_stop,4
