# NIFTY Midcap 100 watchlist
# Source: official NSE/Nifty Indices constituent CSV downloaded from niftyindices.com
# FYERS-tradable list excludes official dummy constituents that FYERS history rejects: NIFTYNEXT50:DUMMYVEDL1, NIFTYNEXT50:DUMMYVEDL2, NIFTYNEXT50:DUMMYVEDL3, NIFTYNEXT50:DUMMYVEDL4
# Columns: symbol,fyers_symbol,company,sector,basket,notes
symbol,fyers_symbol,company,sector,basket,notes
NYKAA,NSE:NYKAA-EQ,FSN E-Commerce Ventures Ltd.,Consumer Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
FEDERALBNK,NSE:FEDERALBNK-EQ,Federal Bank Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
FORTIS,NSE:FORTIS-EQ,Fortis Healthcare Ltd.,Healthcare,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GVT&D,NSE:GVT&D-EQ,GE Vernova T&D India Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GMRAIRPORT,NSE:GMRAIRPORT-EQ,GMR Airports Ltd.,Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GLENMARK,NSE:GLENMARK-EQ,Glenmark Pharmaceuticals Ltd.,Healthcare,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GODFRYPHLP,NSE:GODFRYPHLP-EQ,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GODREJPROP,NSE:GODREJPROP-EQ,Godrej Properties Ltd.,Realty,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
HAVELLS,NSE:HAVELLS-EQ,Havells India Ltd.,Consumer Durables,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
HEROMOTOCO,NSE:HEROMOTOCO-EQ,Hero MotoCorp Ltd.,Automobile and Auto Components,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
HINDPETRO,NSE:HINDPETRO-EQ,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
POWERINDIA,NSE:POWERINDIA-EQ,Hitachi Energy India Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
HUDCO,NSE:HUDCO-EQ,Housing & Urban Development Corporation Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
ICICIGI,NSE:ICICIGI-EQ,ICICI Lombard General Insurance Company Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
ICICIAMC,NSE:ICICIAMC-EQ,ICICI Prudential Asset Management Company Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,IDFC First Bank Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
INDIANB,NSE:INDIANB-EQ,Indian Bank,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
IRCTC,NSE:IRCTC-EQ,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
IREDA,NSE:IREDA-EQ,Indian Renewable Energy Development Agency Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
INDUSTOWER,NSE:INDUSTOWER-EQ,Indus Towers Ltd.,Telecommunication,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
INDUSINDBK,NSE:INDUSINDBK-EQ,IndusInd Bank Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
NAUKRI,NSE:NAUKRI-EQ,Info Edge (India) Ltd.,Consumer Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
JSWENERGY,NSE:JSWENERGY-EQ,JSW Energy Ltd.,Power,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
JUBLFOOD,NSE:JUBLFOOD-EQ,Jubilant Foodworks Ltd.,Consumer Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
KEI,NSE:KEI-EQ,KEI Industries Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
KPITTECH,NSE:KPITTECH-EQ,KPIT Technologies Ltd.,Information Technology,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
KALYANKJIL,NSE:KALYANKJIL-EQ,Kalyan Jewellers India Ltd.,Consumer Durables,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
LTF,NSE:LTF-EQ,L&T Finance Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
LGEINDIA,NSE:LGEINDIA-EQ,LG Electronics India Ltd.,Consumer Durables,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
LICHSGFIN,NSE:LICHSGFIN-EQ,LIC Housing Finance Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
LAURUSLABS,NSE:LAURUSLABS-EQ,Laurus Labs Ltd.,Healthcare,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
LENSKART,NSE:LENSKART-EQ,Lenskart Solutions Ltd.,Consumer Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
LUPIN,NSE:LUPIN-EQ,Lupin Ltd.,Healthcare,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
MRF,NSE:MRF-EQ,MRF Ltd.,Automobile and Auto Components,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
M&MFIN,NSE:M&MFIN-EQ,Mahindra & Mahindra Financial Services Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
MANKIND,NSE:MANKIND-EQ,Mankind Pharma Ltd.,Healthcare,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
MARICO,NSE:MARICO-EQ,Marico Ltd.,Fast Moving Consumer Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
MFSL,NSE:MFSL-EQ,Max Financial Services Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
MOTILALOFS,NSE:MOTILALOFS-EQ,Motilal Oswal Financial Services Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
MPHASIS,NSE:MPHASIS-EQ,MphasiS Ltd.,Information Technology,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
MCX,NSE:MCX-EQ,Multi Commodity Exchange of India Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
NHPC,NSE:NHPC-EQ,NHPC Ltd.,Power,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
NMDC,NSE:NMDC-EQ,NMDC Ltd.,Metals & Mining,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
NATIONALUM,NSE:NATIONALUM-EQ,National Aluminium Co. Ltd.,Metals & Mining,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
OBEROIRLTY,NSE:OBEROIRLTY-EQ,Oberoi Realty Ltd.,Realty,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
OIL,NSE:OIL-EQ,Oil India Ltd.,Oil Gas & Consumable Fuels,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
PAYTM,NSE:PAYTM-EQ,One 97 Communications Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
OFSS,NSE:OFSS-EQ,Oracle Financial Services Software Ltd.,Information Technology,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
POLICYBZR,NSE:POLICYBZR-EQ,PB Fintech Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
PIIND,NSE:PIIND-EQ,PI Industries Ltd.,Chemicals,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
PAGEIND,NSE:PAGEIND-EQ,Page Industries Ltd.,Textiles,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
PATANJALI,NSE:PATANJALI-EQ,Patanjali Foods Ltd.,Fast Moving Consumer Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
PERSISTENT,NSE:PERSISTENT-EQ,Persistent Systems Ltd.,Information Technology,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
PHOENIXLTD,NSE:PHOENIXLTD-EQ,Phoenix Mills Ltd.,Realty,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
