# NIFTY 50 watchlist
# Source: official NSE/Nifty Indices constituent CSV downloaded from niftyindices.com
# FYERS-tradable list excludes official dummy constituents that FYERS history rejects: NIFTYNEXT50:DUMMYVEDL1, NIFTYNEXT50:DUMMYVEDL2, NIFTYNEXT50:DUMMYVEDL3, NIFTYNEXT50:DUMMYVEDL4
# Columns: symbol,fyers_symbol,company,sector,basket,notes
symbol,fyers_symbol,company,sector,basket,notes
KOTAKBANK,NSE:KOTAKBANK-EQ,Kotak Mahindra Bank Ltd.,Financial Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
LT,NSE:LT-EQ,Larsen & Toubro Ltd.,Construction,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
M&M,NSE:M&M-EQ,Mahindra & Mahindra Ltd.,Automobile and Auto Components,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
MARUTI,NSE:MARUTI-EQ,Maruti Suzuki India Ltd.,Automobile and Auto Components,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
MAXHEALTH,NSE:MAXHEALTH-EQ,Max Healthcare Institute Ltd.,Healthcare,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
NTPC,NSE:NTPC-EQ,NTPC Ltd.,Power,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
NESTLEIND,NSE:NESTLEIND-EQ,Nestle India Ltd.,Fast Moving Consumer Goods,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
ONGC,NSE:ONGC-EQ,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
POWERGRID,NSE:POWERGRID-EQ,Power Grid Corporation of India Ltd.,Power,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
RELIANCE,NSE:RELIANCE-EQ,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
SBILIFE,NSE:SBILIFE-EQ,SBI Life Insurance Company Ltd.,Financial Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,Shriram Finance Ltd.,Financial Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
SBIN,NSE:SBIN-EQ,State Bank of India,Financial Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
SUNPHARMA,NSE:SUNPHARMA-EQ,Sun Pharmaceutical Industries Ltd.,Healthcare,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
TCS,NSE:TCS-EQ,Tata Consultancy Services Ltd.,Information Technology,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
TATACONSUM,NSE:TATACONSUM-EQ,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
TMPV,NSE:TMPV-EQ,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
TATASTEEL,NSE:TATASTEEL-EQ,Tata Steel Ltd.,Metals & Mining,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
TECHM,NSE:TECHM-EQ,Tech Mahindra Ltd.,Information Technology,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
TITAN,NSE:TITAN-EQ,Titan Company Ltd.,Consumer Durables,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
TRENT,NSE:TRENT-EQ,Trent Ltd.,Consumer Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
ULTRACEMCO,NSE:ULTRACEMCO-EQ,UltraTech Cement Ltd.,Construction Materials,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
WIPRO,NSE:WIPRO-EQ,Wipro Ltd.,Information Technology,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
